ImageNumber,ObjectNumber,AreaShape_Area,Location_Center_X,Location_Center_Y
1,505,78,1178.82051282,719.551282051
1,506,84,1643.96428571,719.642857143
1,507,214,868.906542056,721.859813084
1,508,79,1982.30379747,722.784810127
1,509,245,1062.31836735,724.881632653
1,510,236,1755.34745763,721.165254237
1,511,389,594.629820051,727.221079692
1,512,165,817.933333333,723.8
1,513,56,549.482142857,727.946428571
1,514,44,144.772727273,733.727272727
1,515,373,356.841823056,733.563002681
1,516,205,1196.02926829,736.2
1,517,105,159.857142857,733.952380952
1,518,213,1086.02816901,736.126760563
1,519,174,413.17816092,736.729885057
1,520,236,918.970338983,734.372881356
1,521,206,81.9223300971,734.116504854
1,522,220,1632.50909091,742.390909091
1,523,236,793.088983051,741.288135593
1,524,206,1727.01456311,748.77184466
1,525,550,1151.05090909,743.730909091
1,526,271,1021.13653137,748.645756458
1,527,128,1428.8515625,753.6484375
1,528,304,1800.54934211,755.371710526
1,529,190,687.968421053,757.884210526
1,530,284,1033.77464789,757.940140845
1,531,171,1632.84210526,759.111111111
1,532,114,993.438596491,762.526315789
1,533,188,379.010638298,761.914893617
1,534,196,532.801020408,761.637755102
1,535,252,587.436507937,768.134920635
1,536,370,1203.28918919,770.259459459
1,537,306,1772.89542484,763.846405229
1,538,376,1244.70744681,775.234042553
1,539,436,1219.37385321,769.162844037
1,540,242,1066.6322314,771.607438017
1,541,479,448.308977035,780.33611691
1,542,280,929.267857143,776.175
1,543,368,1423.88043478,783.130434783
1,544,395,1775.24050633,777.362025316
1,545,197,810.010152284,778.436548223
1,546,140,1199.96428571,783.692857143
1,547,242,246.252066116,783.867768595
1,548,77,221.298701299,785.142857143
1,549,149,403.610738255,783.510067114
1,550,265,571.018867925,788.064150943
1,551,210,1020.86190476,783.866666667
1,552,93,795.150537634,787.268817204
1,553,106,1234.75471698,788.839622642
1,554,166,1096.54216867,793.120481928
1,555,153,1750.49019608,790.921568627
1,556,120,1732.775,791.025
1,557,40,215.55,792.875
1,558,295,626.084745763,798.752542373
1,559,227,920.964757709,801.9030837
1,560,229,1299.66812227,798.951965066
1,561,287,1257.31358885,794.644599303
1,562,202,1147.55940594,801.292079208
1,563,630,1496.68253968,804.888888889
1,564,185,131.394594595,804.356756757
1,565,209,1461.05263158,804.555023923
1,566,192,84.5572916667,804.807291667
1,567,57,736.807017544,806.719298246
1,568,202,806.198019802,807.148514851
1,569,240,1208.05833333,807.445833333
1,570,191,264.335078534,813.717277487
1,571,233,403.56223176,816.703862661
1,572,81,1330.80246914,815.679012346
1,573,269,1063.38289963,814.695167286
1,574,255,1139.32156863,816.976470588
1,575,454,1407.79295154,822.103524229
1,576,214,571.939252336,817.612149533
1,577,687,1695.54876274,819.799126638
1,578,251,1173.09163347,823.525896414
1,579,168,1498.44047619,826.988095238
1,580,425,1193.02352941,824.388235294
1,581,243,178.58436214,825.481481481
1,582,319,1479.45768025,834.623824451
1,583,56,1555.91071429,831.232142857
1,584,246,617.020325203,830.337398374
1,585,261,647.785440613,837.486590038
1,586,202,1096.48019802,838.836633663
1,587,253,101.988142292,841.438735178
1,588,230,514.547826087,840.156521739
1,589,242,744.644628099,842.847107438
1,590,180,880.644444444,843.644444444
1,591,219,918.392694064,848.333333333
1,592,223,1982.70403587,844.887892377
1,593,228,1155.24122807,843.719298246
1,594,187,344.449197861,842.422459893
1,595,159,1250.11320755,845.050314465
1,596,214,1660.11214953,846.864485981
1,597,177,47.5649717514,848.0
1,598,188,1005.19680851,850.468085106
1,599,168,1085.31547619,851.017857143
1,600,48,1382.3125,851.25
1,601,210,1116.15714286,852.571428571
1,602,250,1240.184,850.716
1,603,256,1259.65234375,857.015625
1,604,200,1353.59,850.435
1,605,272,770.503676471,851.283088235
1,606,77,1180.1038961,853.181818182
1,607,70,835.457142857,851.585714286
1,608,522,1062.01340996,859.220306513
1,609,255,159.458823529,855.792156863
1,610,117,1406.01709402,859.427350427
1,611,64,805.28125,860.15625
1,612,175,951.765714286,864.96
1,613,39,1475.94871795,863.128205128
1,614,77,2.28571428571,861.194805195
1,615,261,565.812260536,867.666666667
1,616,201,695.253731343,865.890547264
1,617,121,805.983471074,875.123966942
1,618,239,328.012552301,875.451882845
1,619,192,1021.65104167,874.182291667
1,620,157,1568.94904459,875.936305732
1,621,50,526.94,882.76
1,622,236,987.847457627,881.61440678
1,623,159,1226.79874214,884.257861635
1,624,245,1128.60816327,891.551020408
1,625,285,676.171929825,888.452631579
1,626,238,386.025210084,897.991596639
1,627,251,846.976095618,899.199203187
1,628,269,1069.2527881,889.460966543
1,629,223,52.8116591928,894.816143498
1,630,390,520.225641026,899.317948718
1,631,186,1793.73655914,904.02688172
1,632,228,878.526315789,903.412280702
1,633,404,1102.69059406,906.361386139
1,634,203,1566.69458128,911.911330049
1,635,222,904.274774775,923.666666667
1,636,234,985.504273504,920.02991453
1,637,192,16.53125,920.770833333
1,638,188,639.489361702,919.579787234
1,639,156,219.929487179,921.076923077
1,640,110,387.336363636,921.936363636
1,641,136,1546.83823529,920.647058824
1,642,262,1215.39694656,920.347328244
1,643,408,1582.00735294,921.200980392
1,644,253,1153.5770751,925.213438735
1,645,227,154.559471366,925.49339207
1,646,267,789.947565543,921.685393258
1,647,230,1043.67391304,922.595652174
1,648,177,58.5536723164,932.779661017
1,649,238,846.096638655,928.029411765
1,650,178,1070.11797753,933.320224719
1,651,202,1477.91584158,934.623762376
1,652,41,275.341463415,931.682926829
1,653,151,383.735099338,931.960264901
1,654,107,1120.42990654,934.869158879
1,655,249,1320.28915663,933.590361446
1,656,206,667.718446602,939.650485437
1,657,41,950.658536585,939.902439024
1,658,145,4.67586206897,943.710344828
1,659,230,367.613043478,943.395652174
1,660,333,1107.56156156,942.399399399
1,661,535,1166.20560748,945.003738318
1,662,240,1239.18333333,946.291666667
1,663,227,978.0969163,945.281938326
1,664,276,1183.98550725,946.601449275
1,665,201,1553.43781095,948.432835821
1,666,115,620.234782609,950.07826087
1,667,299,866.528428094,948.678929766
1,668,204,1217.00490196,948.843137255
1,669,136,251.632352941,953.220588235
1,670,289,488.314878893,952.069204152
1,671,43,1536.41860465,953.953488372
1,672,89,1991.02247191,953.876404494
1,673,93,303.752688172,958.086021505
1,674,246,423.902439024,950.817073171
1,675,160,103.4375,956.28125
1,676,76,297.355263158,964.092105263
1,677,331,598.513595166,968.534743202
1,678,190,1365.30526316,964.273684211
1,679,241,955.539419087,970.390041494
1,680,76,502.868421053,970.434210526
1,681,236,1241.51694915,975.639830508
1,682,325,1067.52615385,970.046153846
1,683,283,548.90459364,977.639575972
1,684,231,902.134199134,973.458874459
1,685,218,703.591743119,974.252293578
1,686,269,434.107806691,982.349442379
1,687,604,779.400662252,984.144039735
1,688,433,1107.88221709,981.531177829
1,689,243,1506.93415638,980.329218107
1,690,185,321.124324324,980.308108108
1,691,155,53.0258064516,984.35483871
1,692,68,210.485294118,986.588235294
1,693,638,1183.39968652,992.180250784
1,694,473,1282.15856237,992.689217759
1,695,490,1011.55714286,984.987755102
1,696,168,1251.32142857,991.714285714
1,697,289,1162.24221453,993.062283737
1,698,217,441.129032258,993.926267281
1,699,67,616.044776119,996.134328358
1,700,270,1834.7037037,997.144444444
1,701,236,1093.80084746,1000.33050847
1,702,710,839.478873239,996.438028169
1,703,223,674.103139013,1005.03139013
1,704,255,660.721568627,1002.92156863
1,705,426,750.981220657,1001.46948357
1,706,99,183.656565657,1009.46464646
1,707,55,432.218181818,1009.58181818
1,708,94,192.914893617,1014.54255319
1,709,195,239.364102564,1013.16410256
1,710,232,1117.15517241,1018.01293103
1,711,144,703.590277778,1022.17361111
1,712,454,882.372246696,1016.36343612
1,713,197,1211.73604061,1021.69543147
1,714,197,230.010152284,1023.1928934
1,715,372,1193.83602151,1021.05376344
1,716,210,778.080952381,1025.02857143
1,717,57,338.964912281,1025.56140351
1,718,59,792.203389831,1026.55932203
1,719,90,171.955555556,1030.65555556
1,720,190,299.268421053,1027.52105263
1,721,184,489.043478261,1027.84782609
1,722,464,1172.21767241,1026.65948276
1,723,87,1909.88505747,1036.25287356
1,724,109,429.614678899,1035.6146789
1,725,280,885.389285714,1038.34285714
1,726,183,1077.56830601,1037.71584699
1,727,60,1718.4,1035.73333333
1,728,230,964.317391304,1035.94347826
1,729,201,448.378109453,1044.21393035
1,730,77,457.688311688,1047.36363636
1,731,162,677.043209877,1055.28395062
1,732,257,1040.41634241,1053.73540856
1,733,137,524.160583942,1051.98540146
1,734,286,762.286713287,1058.53146853
1,735,79,1287.21518987,1055.97468354
1,736,310,1009.94516129,1062.4483871
1,737,260,122.923076923,1054.68076923
1,738,229,342.454148472,1057.26200873
1,739,262,939.618320611,1061.49236641
1,740,94,1197.64893617,1061.57446809
1,741,266,698.067669173,1065.43609023
1,742,319,1025.69278997,1065.39498433
1,743,172,1389.0872093,1060.11046512
1,744,257,419.354085603,1070.27626459
1,745,225,601.551111111,1062.80888889
1,746,71,670.929577465,1064.78873239
1,747,222,1431.81081081,1071.72522523
1,748,256,992.4609375,1067.546875
1,749,240,80.25,1073.2375
1,750,264,1979.51515152,1068.99621212
1,751,269,1143.62453532,1073.14869888
1,752,91,1235.67032967,1072.92307692
1,753,115,1175.04347826,1079.77391304
1,754,248,867.995967742,1080.06854839
