ImageNumber,ObjectNumber,AreaShape_Area,Location_Center_X,Location_Center_Y
1,173,2174,669.207911684,214.878564857
1,174,2182,1327.37580202,213.834097159
1,175,1122,908.509803922,228.662210339
1,176,1997,1925.94992489,223.677516274
1,177,1879,873.118147951,223.395955295
1,178,2039,1366.93575282,226.435017165
1,179,1201,982.975853455,221.707743547
1,180,1757,27.7148548662,225.075128059
1,181,1965,236.134860051,232.145547074
1,182,1240,401.110483871,231.466129032
1,183,2065,827.651815981,226.875060533
1,184,2216,1064.26083032,232.178249097
1,185,1858,1408.58288482,232.390204521
1,186,1402,205.254636234,232.444365193
1,187,2401,324.674718867,245.325281133
1,188,1469,513.759700477,239.866575902
1,189,1307,776.957918898,235.45524101
1,190,1229,480.370219691,248.446704638
1,191,2381,577.614027719,243.175556489
1,192,1147,1000.82476024,247.939843069
1,193,2157,98.2600834492,248.101066296
1,194,1433,63.4494068388,246.600139567
1,195,603,790.35986733,253.323383085
1,196,1360,369.308088235,252.976470588
1,197,1340,721.005970149,248.328358209
1,198,1971,953.059360731,258.226788432
1,199,508,456.517716535,253.437007874
1,200,3562,1282.63363279,252.979786637
1,201,2277,1781.65480896,261.787000439
1,202,1608,401.0,268.979477612
1,203,1543,17.162022035,262.2022035
1,204,896,735.146205357,270.094866071
1,205,1405,833.575088968,264.280427046
1,206,1920,892.380208333,266.290104167
1,207,1215,1138.30041152,254.941563786
1,208,2171,1435.86135421,268.972823584
1,209,2286,657.540244969,260.675853018
1,210,2327,1192.30339493,265.414697035
1,211,1727,447.366531558,274.433121019
1,212,1232,1161.60470779,276.366883117
1,213,1558,1095.16367137,271.077021823
1,214,1471,518.613868117,278.997280761
1,215,2348,171.180153322,282.148637138
1,216,1637,990.789859499,279.488698839
1,217,1461,546.689938398,278.258042437
1,218,1235,1120.28259109,281.203238866
1,219,3164,771.383059418,286.554993679
1,220,1731,695.151357597,283.14615829
1,221,1811,1222.17890668,291.263390392
1,222,2004,580.338822355,292.944610778
1,223,2062,90.3161978661,297.585838991
1,224,2714,1654.77266028,289.413043478
1,225,2013,1299.84153005,302.566318927
1,226,1727,1503.2403011,300.87492762
1,227,1455,813.528522337,301.192439863
1,228,919,840.533188248,301.361262242
1,229,1438,1132.09666203,311.132127955
1,230,1607,19.7840696951,302.767268202
1,231,1889,1010.2895712,307.884595024
1,232,1776,357.436936937,302.55518018
1,233,1362,899.497797357,302.924375918
1,234,1891,394.310946589,312.679005817
1,235,1051,865.213130352,307.309229305
1,236,1854,939.660733549,309.776699029
1,237,1374,692.525473071,314.649199418
1,238,2371,306.603542809,310.662167862
1,239,1856,1965.69935345,314.129310345
1,240,1246,899.83788122,333.993579454
1,241,2173,1398.65945697,319.642429821
1,242,1696,55.695754717,328.222877358
1,243,2475,1768.91474747,329.67959596
1,244,1546,675.249029754,335.779430789
1,245,1448,542.223756906,326.441298343
1,246,2111,1257.58218854,330.212695405
1,247,1535,1327.91074919,329.067752443
1,248,753,7.89243027888,343.156706507
1,249,1363,1202.80851064,327.806309611
1,250,2493,1087.80024067,340.976333734
1,251,2100,1660.95238095,338.216666667
1,252,2402,1842.16985845,338.145295587
1,253,1803,449.86744315,340.750970605
1,254,2238,854.655942806,346.310991957
1,255,684,1219.83040936,344.780701754
1,256,1537,336.317501627,338.984385166
1,257,2053,1967.32148076,349.796882611
1,258,850,546.816470588,356.063529412
1,259,1999,782.223111556,346.500250125
1,260,1802,590.355160932,338.89345172
1,261,1704,232.5592723,343.431924883
1,262,1087,25.8886844526,353.781048758
1,263,1811,1376.27940364,359.561568194
1,264,1686,1626.92111507,353.726571767
1,265,1035,575.686956522,364.975845411
1,266,1423,1332.97189037,358.43851019
1,267,2374,1572.50042123,354.174389217
1,268,1266,514.778041074,356.912322275
1,269,1348,1172.18026706,356.633531157
1,270,2220,168.617117117,354.575225225
1,271,1824,1133.00767544,358.155701754
1,272,1877,651.220564731,360.974960043
1,273,1457,925.70624571,361.22512011
1,274,1199,51.789824854,367.507923269
1,275,1492,89.7211796247,361.731903485
1,276,2238,1720.79892761,365.752457551
1,277,784,1209.77295918,365.478316327
1,278,2372,1424.11172007,362.919477234
1,279,1320,955.487121212,365.95
1,280,2166,1802.1823638,366.370729455
1,281,1338,346.080717489,368.872197309
1,282,1457,1239.27453672,376.804392588
1,283,2068,304.152321083,371.62959381
1,284,1559,811.289288005,370.510583708
1,285,1684,448.896674584,378.909738717
1,286,1476,1276.51084011,376.088075881
1,287,2524,218.176703645,380.330427892
1,288,1402,977.935805991,381.846647646
1,289,819,1326.95482295,382.628815629
1,290,1711,1838.05961426,387.176504968
1,291,1027,272.187925998,379.829600779
1,292,1724,1753.52610209,390.564385151
1,293,2067,1970.63909047,390.429608128
1,294,2114,399.581835383,385.982497635
1,295,1702,826.718566392,398.361927145
